,rank,username,language,solved easy,solved easy beats,solved medium,solved medium beats,solved hard,solved hard beats,subs,recent,active_days,adv_skills,int_skills,fund_skills
1796,"51,259",Shubham Gupta,"C++_599,Go_39,Java_25",163.0,96.6,389.0,98.6,85.0,96.6,507,"Find Edges in Shortest Paths,Count the Number of Special Characters II,Count the Number of Special Characters I,Number of Ways to Arrive at Destination,Count Sub Islands,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Jump Game II,Jump Game III,Split Array Into Maximum Number of Subarrays,Pseudo-Palindromic Paths in a Binary Tree,Kth Largest Sum in a Binary Tree,Maximum Level Sum of a Binary Tree",128.0,"Dynamic Programming-100,Backtracking-25,Union Find-22,Trie-20,Divide and Conquer-18,Monotonic Stack-12,Segment Tree-9,Rolling Hash-7","Hash Table-110,Depth-First Search-106,Tree-98,Math-92,Binary Tree-87,Breadth-First Search-79,Greedy-70,Binary Search-52","Array-327,String-139,Sorting-90,Two Pointers-62,Matrix-52,Stack-39,Linked List-38,Simulation-26"
1797,"34,341",Bhavya Agrawal,"C++_674,MySQL_36,Python3_18",254.0,99.1,418.0,98.9,55.0,93.0,748,"Island Perimeter,Maximum Subarray,Maximum Product Subarray,Maximum Subarray,Painting the Walls,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Flip Binary Tree To Match Preorder Traversal,Pancake Sorting,Powerful Integers,Word Break II,Palindrome Partitioning II",154.0,"Dynamic Programming-112,Backtracking-17,Union Find-16,Divide and Conquer-10,Monotonic Stack-8,Trie-7,Shortest Path-7,Topological Sort-6","Hash Table-145,Math-115,Greedy-99,Depth-First Search-66,Binary Search-61,Breadth-First Search-54,Bit Manipulation-47,Tree-45","Array-408,String-151,Sorting-104,Two Pointers-65,Matrix-59,Simulation-41,Stack-31,Linked List-24"
1799,"364,262",Zebul,"C++_213,JavaScript_11,Java_1",103.0,91.3,105.0,86.8,17.0,75.0,772,"Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Maximal Rectangle,Trapping Rain Water,Remove K Digits,Reveal Cards In Increasing Order,Time Needed to Buy Tickets,Number of Students Unable to Eat Lunch",142.0,"Dynamic Programming-32,Monotonic Stack-6,Backtracking-4,Union Find-4,Divide and Conquer-2,Data Stream-1,Bitmask-1,Trie-1","Hash Table-47,Math-29,Depth-First Search-20,Greedy-19,Tree-15,Binary Tree-15,Binary Search-15,Breadth-First Search-14","Array-113,String-57,Sorting-32,Two Pointers-31,Stack-20,Matrix-16,Simulation-16,Linked List-12"
1800,"211,197",Adhi_5061,"Python3_324,MySQL_2,Python_1",165.0,96.7,152.0,91.5,9.0,61.1,"1,162","Two Sum,Add Two Numbers,Reverse Integer,Maximum Score From Removing Stones,Reduce Array Size to The Half,Seat Reservation Manager,Smallest Number in Infinite Set,Kth Largest Element in an Array,Add Two Numbers,Latest Time You Can Obtain After Replacing Characters,Maximum Prime Difference,Minimum Rectangles to Cover Points,Score of a String,Remove Duplicates from Sorted List II,Two Sum",157.0,"Dynamic Programming-21,Backtracking-14,Divide and Conquer-9,Trie-6,Monotonic Stack-4,Quickselect-2,Data Stream-1,Game Theory-1","Hash Table-68,Tree-46,Binary Tree-46,Math-43,Depth-First Search-38,Sliding Window-29,Greedy-22,Breadth-First Search-20","Array-155,String-94,Two Pointers-47,Sorting-37,Linked List-31,Simulation-26,Stack-25,Matrix-11"
1801,"7,007",Nemesis,"Python3_1064,MySQL_46,C++_32",602.0,99.97,480.0,99.3,58.0,93.5,"9,790","Symmetric Tree,Diameter of Binary Tree,Balanced Binary Tree,Same Tree,Maximal Square,Find All Groups of Farmland,Longest ZigZag Path in a Binary Tree,Remove Adjacent Almost-Equal Characters,Number of Paths with Max Score,Rotting Oranges,Pacific Atlantic Water Flow,Surrounded Regions,Detect Cycles in 2D Grid,Number of Closed Islands,Number of Islands",350.0,"Dynamic Programming-132,Backtracking-30,Divide and Conquer-18,Union Find-16,Trie-15,Monotonic Stack-11,Data Stream-6,Game Theory-5","Hash Table-248,Math-162,Greedy-108,Depth-First Search-96,Tree-84,Binary Search-84,Binary Tree-79,Breadth-First Search-64","Array-605,String-293,Sorting-175,Two Pointers-100,Simulation-73,Matrix-64,Stack-42,Linked List-40"
1802,"9,048",Tanuj Vats,"C++_1066,Java_13,JavaScript_2",278.0,99.3,638.0,99.8,153.0,99.1,708,"Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find if Path Exists in Graph,Find All Groups of Farmland,Number of Islands,Island Perimeter,Longest Substring Without Repeating Characters,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Find the Number of Subarrays Where Boundary Elements Are Maximum",198.0,"Dynamic Programming-189,Backtracking-43,Union Find-37,Divide and Conquer-25,Monotonic Stack-21,Trie-19,Bitmask-12,Segment Tree-9","Hash Table-230,Math-157,Depth-First Search-148,Greedy-122,Breadth-First Search-121,Tree-115,Binary Tree-102,Binary Search-94","Array-595,String-253,Sorting-157,Two Pointers-91,Matrix-85,Stack-63,Simulation-60,Linked List-48"
1807,"336,830",EdwardZhou1,"C++_86,Python_81,Java_62",102.0,91.2,124.0,89.0,13.0,69.4,242,"Count the Number of Special Characters II,Count the Number of Special Characters I,Longest Common Subsequence,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Time Needed to Buy Tickets,Number of Students Unable to Eat Lunch,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Isomorphic Strings,Counting Bits,Length of Last Word,Minimize Manhattan Distances",49.0,"Dynamic Programming-30,Backtracking-5,Divide and Conquer-4,Union Find-4,Topological Sort-3,Trie-2,Monotonic Stack-2,Data Stream-1","Math-51,Hash Table-49,Depth-First Search-28,Tree-26,Greedy-26,Binary Tree-24,Breadth-First Search-21,Binary Search-12","Array-124,String-51,Two Pointers-26,Sorting-23,Matrix-17,Linked List-17,Simulation-14,Stack-12"
1808,"1,064",William Tsai,"C++_1471,Python3_415,C_1",636.0,99.98,1032.0,99.96,177.0,99.4,757,"Find Edges in Shortest Paths,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find if Path Exists in Graph,Find All Groups of Farmland,Number of Islands,Minimum Score Triangulation of Polygon,Score of a String,Island Perimeter,Smallest String Starting From Leaf,Maximum Frequency Stack,Step-By-Step Directions From a Binary Tree Node to Another,Number of Ways to Split a String,Parallel Courses III",125.0,"Dynamic Programming-227,Backtracking-62,Union Find-44,Trie-35,Monotonic Stack-32,Divide and Conquer-30,Data Stream-15,Game Theory-15","Hash Table-418,Math-316,Depth-First Search-218,Greedy-211,Tree-181,Breadth-First Search-159,Binary Tree-155,Binary Search-122","Array-1039,String-486,Sorting-253,Two Pointers-150,Matrix-145,Simulation-119,Stack-99,Linked List-68"
1810,"873,421",Kush Ahir,"Python_98,C++_2,Java_1",50.0,77.4,44.0,72.6,5.0,46.8,397,"Find if Path Exists in Graph,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Score of a String,Minimum Rectangles to Cover Points,Score of a String",60.0,"Dynamic Programming-4,Monotonic Stack-3,Divide and Conquer-2,Trie-2,Union Find-2,Backtracking-1,Monotonic Queue-1","Hash Table-27,Math-12,Greedy-10,Sliding Window-9,Depth-First Search-8,Binary Search-6,Breadth-First Search-6,Recursion-5","Array-51,String-25,Two Pointers-20,Sorting-16,Linked List-15,Stack-11,Matrix-5,Simulation-4"
1811,"31,571",DULAM SATYA VAMSI KRISHNA,"Java_423,C++_237,Python3_135",201.0,98.1,476.0,99.3,79.0,96.1,"1,210","Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Split Array With Same Average,Word Ladder,Domino and Tromino Tiling,Count Submatrices With All Ones,Greatest Sum Divisible by Three,Find All Groups of Farmland,Uncrossed Lines,Number of Islands,Find All Good Indices,Find Good Days to Rob the Bank,Longest Mountain in Array,Island Perimeter",258.0,"Dynamic Programming-138,Backtracking-41,Union Find-20,Trie-18,Divide and Conquer-14,Monotonic Stack-11,Rolling Hash-7,Game Theory-6","Hash Table-158,Math-130,Greedy-90,Depth-First Search-86,Breadth-First Search-68,Binary Search-61,Tree-59,Bit Manipulation-55","Array-412,String-184,Sorting-123,Two Pointers-72,Matrix-52,Stack-44,Simulation-41,Linked List-30"
1813,"4,249",zzandland,"C++_953,Python3_681,JavaScript_84",334.0,99.6,730.0,99.8,231.0,99.7,"1,241","Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Kth Smallest Amount With Single Denomination Combination,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Trapping Rain Water,Reveal Cards In Increasing Order,Valid Parenthesis String,Time Needed to Buy Tickets",301.0,"Dynamic Programming-228,Backtracking-52,Union Find-49,Trie-25,Monotonic Stack-24,Divide and Conquer-21,Topological Sort-16,Data Stream-14","Hash Table-272,Depth-First Search-185,Math-180,Breadth-First Search-146,Tree-137,Greedy-126,Binary Tree-121,Binary Search-111","Array-683,String-309,Sorting-172,Two Pointers-116,Matrix-105,Stack-77,Simulation-58,Linked List-51"
1814,"11,613",Saksham Singhal,"C++_973,MySQL_31,Java_1",254.0,99.1,552.0,99.6,198.0,99.6,776,"Find Edges in Shortest Paths,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Longest String Chain,Find All Groups of Farmland,Fair Distribution of Cookies,Number of Islands,Island Perimeter,Count Hills and Valleys in an Array,Maximum Number of Events That Can Be Attended II,Smallest String Starting From Leaf,Add One Row to Tree,Smallest Sufficient Team,Sum Root to Leaf Numbers",312.0,"Dynamic Programming-222,Backtracking-37,Union Find-35,Divide and Conquer-21,Trie-17,Monotonic Stack-15,Rolling Hash-14,Bitmask-12","Hash Table-196,Math-155,Greedy-122,Depth-First Search-111,Breadth-First Search-99,Tree-92,Binary Search-87,Binary Tree-77","Array-539,String-230,Sorting-139,Two Pointers-85,Matrix-80,Stack-52,Simulation-51,Linked List-41"
1815,"218,623",vklucky999,"Python3_230,C++_99,C_4",288.0,99.4,44.0,72.6,0.0,0.0,505,"Count the Number of Special Characters II,Count the Number of Special Characters I,Rectangle Area,Factorial Trailing Zeroes,Make Two Arrays Equal by Reversing Subarrays,Rearrange Array Elements by Sign,Minimum Operations to Exceed Threshold Value II,Minimum Operations to Exceed Threshold Value I,Remove Nth Node From End of List,Ransom Note,Rotate Array,Distribute Candies Among Children II,Distribute Candies Among Children I,Sum of Digits in Base K,Binary Gap",38.0,"Dynamic Programming-9,Backtracking-6,Divide and Conquer-5,Game Theory-2,Quickselect-1,Trie-1,Monotonic Stack-1","Math-96,Hash Table-60,Bit Manipulation-37,Greedy-22,Binary Search-18,Recursion-9,Sliding Window-4,Tree-2","Array-181,String-88,Sorting-55,Simulation-37,Two Pointers-31,Enumeration-11,Matrix-9,Stack-7"
1816,"289,145",Tushar,"C++_265,Java_10",91.0,89.4,151.0,91.4,25.0,82.2,666,"Count the Number of Special Characters II,Count the Number of Special Characters I,Longest Common Subsequence,Coin Change II,Coin Change,Coin Change II,Coin Change,Count Sub Islands,Find All Groups of Farmland,Number of Islands,Target Sum,Partition Equal Subset Sum,Sum Root to Leaf Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters",111.0,"Dynamic Programming-54,Union Find-14,Backtracking-9,Divide and Conquer-8,Segment Tree-5,Trie-4,Topological Sort-3,Game Theory-2","Hash Table-43,Depth-First Search-43,Binary Search-37,Breadth-First Search-37,Math-33,Tree-27,Binary Tree-27,Greedy-20","Array-153,String-46,Sorting-29,Matrix-27,Two Pointers-25,Simulation-15,Stack-11,Linked List-10"
1817,"33,823",Himanshu,"C++_746,Java_205,MySQL_42",172.0,98.8,496.0,99.5,69.0,95.2,"3,339","Find Edges in Shortest Paths,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Non-overlapping Intervals,Meeting Rooms II,Meeting Rooms,Burst Balloons,Longest Increasing Subsequence,Maximum Product Subarray,LRU Cache,Task Scheduler,Maximum Score of a Good Subarray,Length of Longest Subarray With at Most K Frequency,Interleaving String",286.0,"Dynamic Programming-111,Backtracking-45,Union Find-33,Divide and Conquer-16,Monotonic Stack-15,Trie-14,Topological Sort-13,Data Stream-9","Hash Table-170,Depth-First Search-108,Greedy-105,Binary Search-91,Math-90,Breadth-First Search-88,Tree-72,Graph-64","Array-444,String-168,Sorting-136,Two Pointers-78,Matrix-56,Stack-47,Simulation-32,Linked List-30"
1818,"42,418",Sasidharreddy Lankireddy,"Java_688,MySQL_8,Pandas_1",178.0,97.3,438.0,99.0,62.0,94.2,"1,479","Find All Groups of Farmland,Number of Digit One,Factorial Trailing Zeroes,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Partition Labels,Add One Row to Tree,Minimum Time to Make Rope Colorful,Lexicographically Smallest String After Applying Operations,Sum Root to Leaf Numbers,Nth Magical Number,Kth Smallest Amount With Single Denomination Combination,Sum of Left Leaves,Latest Time You Can Obtain After Replacing Characters",255.0,"Dynamic Programming-120,Backtracking-26,Union Find-23,Monotonic Stack-15,Divide and Conquer-13,Trie-10,Topological Sort-7,Shortest Path-5","Hash Table-142,Math-99,Greedy-91,Depth-First Search-68,Breadth-First Search-63,Binary Search-57,Tree-39,Bit Manipulation-38","Array-410,String-146,Sorting-111,Two Pointers-63,Matrix-48,Simulation-39,Stack-39,Linked List-22"
1819,"25,191",Vaibhav Bichave,"C++_783,MySQL_16,Java_2",308.0,99.5,440.0,99.0,52.0,92.4,358,"Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Trapping Rain Water,Remove K Digits,Reveal Cards In Increasing Order,Valid Parenthesis String,Minimum Remove to Make Valid Parentheses,Make The String Great,Maximum Nesting Depth of the Parentheses",139.0,"Dynamic Programming-102,Backtracking-25,Divide and Conquer-20,Union Find-15,Monotonic Stack-11,Trie-9,Game Theory-4,Quickselect-4","Hash Table-153,Math-143,Tree-103,Depth-First Search-103,Greedy-94,Binary Tree-91,Breadth-First Search-78,Binary Search-55","Array-414,String-185,Sorting-119,Two Pointers-84,Matrix-51,Linked List-48,Simulation-47,Stack-47"
1820,"238,628",secret_paster,"C++_316,Java_1",124.0,93.8,155.0,91.7,24.0,81.5,700,"Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Course Schedule,Sum Root to Leaf Numbers,Swim in Rising Water,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Making A Large Island,Minimum Rectangles to Cover Points,Score of a String,Most Stones Removed with Same Row or Column",113.0,"Dynamic Programming-41,Union Find-11,Divide and Conquer-10,Monotonic Stack-10,Backtracking-5,Topological Sort-4,Shortest Path-4,Quickselect-2","Hash Table-49,Depth-First Search-49,Breadth-First Search-45,Binary Search-42,Tree-39,Binary Tree-39,Math-32,Greedy-23","Array-155,String-61,Two Pointers-49,Sorting-43,Linked List-32,Stack-26,Matrix-23,Simulation-14"
1821,"7,601",Arjun Grover,"C++_1056,Java_53,Python3_25",280.0,99.3,640.0,99.8,198.0,99.6,879,"Find Edges in Shortest Paths,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters I,Count the Number of Special Characters II,Can Place Flowers,Maximum Count of Positive Integer and Negative Integer,Kth Smallest Amount With Single Denomination Combination,Find a Peak Element II,Median of Two Sorted Arrays,Minimum Sum of Values by Dividing Array,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points",277.0,"Dynamic Programming-205,Union Find-34,Backtracking-32,Trie-24,Divide and Conquer-22,Monotonic Stack-17,Topological Sort-14,Segment Tree-12","Hash Table-246,Greedy-146,Math-146,Depth-First Search-122,Binary Search-106,Breadth-First Search-103,Tree-98,Binary Tree-78","Array-648,String-243,Sorting-176,Matrix-85,Two Pointers-81,Simulation-61,Stack-57,Enumeration-38"
1822,"137,445",cflee,"Java_384,Ruby_42,JavaScript_16",143.0,95.4,235.0,95.6,38.0,88.7,687,"Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Maximal Rectangle,Largest Rectangle in Histogram,Basic Calculator,Longest Common Prefix,Backspace String Compare,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum",158.0,"Dynamic Programming-70,Union Find-18,Backtracking-12,Divide and Conquer-11,Monotonic Stack-11,Trie-7,Topological Sort-6,Shortest Path-5","Hash Table-93,Depth-First Search-60,Breadth-First Search-49,Math-47,Tree-39,Greedy-39,Binary Tree-36,Binary Search-27","Array-218,String-98,Sorting-55,Matrix-46,Two Pointers-36,Stack-32,Simulation-27,Linked List-19"
1823,"95,732",Binayak Das,C++_497,161.0,96.5,270.0,96.7,66.0,94.7,722,"Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Minimum Operations to Make Median of Array Equal to K,Minimum Remove to Make Valid Parentheses,Count Subarrays With Fixed Bounds",256.0,"Dynamic Programming-101,Backtracking-24,Union Find-16,Divide and Conquer-15,Monotonic Stack-12,Trie-9,Topological Sort-6,Shortest Path-6","Hash Table-97,Math-70,Depth-First Search-61,Binary Search-53,Tree-51,Binary Tree-50,Breadth-First Search-49,Greedy-47","Array-271,String-105,Sorting-71,Two Pointers-51,Matrix-34,Stack-31,Linked List-23,Simulation-15"
1824,"167,718",VIVEK GIRI,"Java_365,JavaScript_11",168.0,96.9,174.0,92.9,34.0,87.2,624,"Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Minimum Rectangles to Cover Points,Score of a String,Maximal Rectangle,Number of Substrings Containing All Three Characters",240.0,"Dynamic Programming-45,Backtracking-12,Divide and Conquer-6,Monotonic Stack-5,Rolling Hash-4,Trie-4,Union Find-4,Game Theory-2","Hash Table-80,Math-61,Greedy-44,Binary Search-30,Depth-First Search-24,Bit Manipulation-23,Tree-22,Binary Tree-21","Array-216,String-81,Sorting-58,Two Pointers-36,Simulation-24,Matrix-22,Stack-21,Linked List-16"
1829,"33,152",琳 楊,"C++_557,Python3_213,Go_89",308.0,99.5,405.0,98.8,24.0,81.5,565,"Count the Number of Special Characters II,Count the Number of Special Characters I,Add Two Numbers,Convert Sorted Array to Binary Search Tree,N-Queens,N-Queens II,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Merge Two Sorted Lists,Generate Parentheses,Permutations,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Letter Combinations of a Phone Number",161.0,"Dynamic Programming-60,Backtracking-24,Divide and Conquer-17,Trie-15,Monotonic Stack-14,Union Find-13,Topological Sort-7,Data Stream-5","Hash Table-126,Depth-First Search-106,Math-89,Tree-88,Binary Tree-82,Greedy-75,Breadth-First Search-72,Database-71","Array-336,String-178,Sorting-85,Two Pointers-72,Stack-55,Matrix-49,Simulation-47,Linked List-37"
1830,"34,962",Harshit Kumar,"C++_706,JavaScript_15,Python_11",193.0,97.8,432.0,99.0,100.0,97.5,"2,113","Count the Number of Special Characters II,Count the Number of Special Characters I,Minimum Sum of Values by Dividing Array,Island Perimeter,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Rectangles to Cover Points,Score of a String,Trapping Rain Water,Minimum Number of Groups to Create a Valid Assignment",268.0,"Dynamic Programming-128,Backtracking-30,Union Find-19,Divide and Conquer-17,Monotonic Stack-16,Rolling Hash-10,Trie-9,Bitmask-7","Hash Table-145,Math-103,Depth-First Search-90,Greedy-87,Breadth-First Search-78,Tree-76,Binary Tree-69,Binary Search-63","Array-410,String-157,Sorting-94,Two Pointers-76,Matrix-59,Stack-48,Simulation-41,Linked List-36"
1833,"55,426",Shivam Aggarwal,"C++_624,C_2",185.0,97.6,359.0,98.3,80.0,96.2,"1,558","Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Get Equal Substrings Within Budget,Closest Divisors,Nearest Exit from Entrance in Maze,Find All Groups of Farmland,Candy,Shortest Palindrome,Count Palindromic Subsequences,Longest Duplicate Substring,Number of Islands,Number of Squareful Arrays,Minimum Sum of Values by Dividing Array,Count Palindromic Subsequences",241.0,"Dynamic Programming-106,Backtracking-29,Divide and Conquer-14,Union Find-14,Monotonic Stack-13,Trie-9,Game Theory-8,Rolling Hash-7","Hash Table-123,Math-109,Greedy-65,Depth-First Search-57,Binary Search-54,Tree-50,Binary Tree-50,Breadth-First Search-47","Array-340,String-159,Sorting-88,Two Pointers-63,Matrix-53,Stack-42,Simulation-39,Linked List-32"
1834,"4,318",Himanshu Choudhary,"C++_1274,JavaScript_20,Python3_5",397.0,99.8,744.0,99.9,149.0,99.1,810,"Find the Number of Subarrays Where Boundary Elements Are Maximum,Find All Groups of Farmland,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Remove K Digits,Time Needed to Buy Tickets,Valid Parenthesis String,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray",255.0,"Dynamic Programming-212,Backtracking-42,Union Find-28,Monotonic Stack-26,Divide and Conquer-23,Topological Sort-12,Trie-11,Bitmask-9","Hash Table-267,Math-205,Greedy-171,Depth-First Search-126,Tree-102,Binary Search-102,Breadth-First Search-101,Binary Tree-93","Array-748,String-307,Sorting-182,Two Pointers-104,Matrix-99,Simulation-90,Stack-70,Enumeration-45"
1835,"1,754",Tur Lin,"Java_1611,C_38,MySQL_14",448.0,99.9,892.0,99.93,289.0,99.8,"4,202","Count the Number of Special Characters II,Count the Number of Special Characters I,Find if Path Exists in Graph,Find All Groups of Farmland,Decode Ways,Reverse Integer,Set Matrix Zeroes,Encode and Decode Strings,Cheapest Flights Within K Stops,3Sum Closest,Rotate List,Find Minimum in Rotated Sorted Array,Combination Sum IV,Basic Calculator II,Non-overlapping Intervals",295.0,"Dynamic Programming-237,Backtracking-63,Union Find-55,Monotonic Stack-48,Trie-32,Divide and Conquer-27,Topological Sort-20,Segment Tree-18","Hash Table-350,Math-245,Depth-First Search-200,Greedy-192,Binary Search-172,Tree-164,Breadth-First Search-157,Binary Tree-138","Array-930,String-391,Sorting-229,Two Pointers-144,Matrix-134,Stack-122,Simulation-86,Linked List-66"
1836,"11,808",Basharat Khalid,"C++_985,Java_11,Python3_10",278.0,99.3,566.0,99.6,154.0,99.1,896,"Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Maximal Rectangle,Sum of Left Leaves,Find the Number of Subarrays Where Boundary Elements Are Maximum,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle",360.0,"Dynamic Programming-184,Union Find-33,Backtracking-28,Divide and Conquer-21,Monotonic Stack-19,Trie-16,Binary Indexed Tree-10,Segment Tree-10","Hash Table-208,Math-152,Greedy-139,Depth-First Search-118,Tree-97,Breadth-First Search-93,Binary Search-89,Binary Tree-82","Array-555,String-224,Sorting-159,Two Pointers-79,Matrix-75,Simulation-60,Stack-57,Linked List-41"
1837,"78,632",misakimirai,"C++_387,Java_190,Python3_80",167.0,96.8,315.0,97.6,58.0,93.5,294,"Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Deletions to Make String K-Special,Count Substrings Starting and Ending with Given Character,Existence of a Substring in a String and Its Reverse,Shortest Uncommon Substring in an Array,Maximize Happiness of Selected Children,Apple Redistribution into Boxes,Minimum Cost to Cut a Stick",79.0,"Dynamic Programming-88,Backtracking-23,Divide and Conquer-13,Monotonic Stack-11,Union Find-10,Trie-6,Rolling Hash-4,Game Theory-3","Hash Table-103,Math-78,Depth-First Search-70,Tree-67,Binary Tree-65,Greedy-65,Breadth-First Search-49,Binary Search-38","Array-284,String-123,Sorting-67,Two Pointers-53,Matrix-39,Stack-37,Linked List-31,Simulation-29"
1839,"9,595",Sahil Tanwar,"C++_1009,MySQL_39",308.0,99.5,597.0,99.7,143.0,99.0,"2,489","Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Trapping Rain Water,Remove K Digits",325.0,"Dynamic Programming-196,Backtracking-40,Union Find-38,Trie-26,Divide and Conquer-20,Monotonic Stack-18,Topological Sort-17,Bitmask-10","Hash Table-216,Math-142,Depth-First Search-141,Breadth-First Search-113,Tree-104,Greedy-100,Binary Search-94,Binary Tree-89","Array-580,String-221,Sorting-146,Two Pointers-80,Matrix-78,Stack-55,Simulation-48,Linked List-46"
